Protein_ID	Species	Orthogroup	OG_Median_Intensity_All	OG_Median_Intensity_GramPos	OG_Median_Intensity_GramNeg	Protein_Mean_Relative_Intensity	Localization
WP_012419409.1	A_muciniphila	unique				0.0028949450004929	Extracellular
WP_012419977.1	A_muciniphila	OG0000085	0.0025345790197885	0.0014939801622154	0.002620900284634	0.002872040503799	Cytoplasmic
WP_094140570.1	A_muciniphila	OG0000427	0.0002896978022557		0.0002896978022557	0.0028388021157585	Outer Membrane
WP_012420322.1	A_muciniphila	OG0000216	0.0004492489548561	8.09191077341e-05	0.000615262840806	0.0028066759121533	Outer Membrane
WP_232053487.1	A_muciniphila	OG0000203	0.0001177217825299	0.00010811423621	0.001301162805285	0.0027005892676964	Cytoplasmic
WP_012419437.1	A_muciniphila	OG0000115	0.0001859715776765	0.0001859715776765	0.0005153461433821	0.0026905645799743	Cytoplasmic
WP_162000118.1	A_muciniphila	OG0000231	0.0026418599708488		0.0026418599708488	0.0026418599708488	Outer Membrane
WP_012419092.1	A_muciniphila	OG0000635	0.001299611533693	4.55087972677e-05	0.0025537142701183	0.0025537142701183	Cytoplasmic
WP_162378754.1	A_muciniphila	OG0000156	7.2081937711e-05		7.2081937711e-05	0.0024693227708516	Extracellular
WP_012419752.1	A_muciniphila	unique				0.00245123287643	Outer Membrane
WP_102747058.1	A_muciniphila	OG0000087	0.0006713466110681		0.0006713466110681	0.0024480948863841	Extracellular
WP_012420275.1	A_muciniphila	OG0000093	0.0016320685248159	0.0008259036896065	0.0027767124161089	0.0023761918077683	Cytoplasmic
WP_012420621.1	A_muciniphila	OG0000415	0.0002941989341747		0.0002941989341747	0.002364352462916	Cytoplasmic
WP_012419705.1	A_muciniphila	OG0000290	8.84377717224e-05	4.11871676206e-05	0.0023586021960026	0.0023586021960026	Cytoplasmic
WP_012420755.1	A_muciniphila	OG0000202	0.0032331407056946		0.0032331407056946	0.0023553906636402	Extracellular
WP_102746987.1	A_muciniphila	OG0000087	0.0006713466110681		0.0006713466110681	0.0021755521217136	Extracellular
WP_012420274.1	A_muciniphila	OG0000092	0.0013414772083312	0.0007955155901561	0.0018960667513713	0.0020531841539914	Cytoplasmic
WP_102744678.1	A_muciniphila	OG0000009	0.0008094308743419		0.0008094308743419	0.0020389768465189	Outer Membrane
WP_094139995.1	A_muciniphila	unique				0.0019713066381345	Extracellular
WP_012419930.1	A_muciniphila	unique				0.0019522749193071	Periplasmic
WP_102746596.1	A_muciniphila	OG0000112	5.31250068938e-05	4.2564312355e-05	5.31250068938e-05	0.0019403670769791	Periplasmic
WP_012421197.1	A_muciniphila	OG0000453	0.0004595079294861	0.0004313749690804	0.0019324989877692	0.0019324989877692	Cytoplasmic
WP_094137873.1	A_muciniphila	unique				0.001867702111432	Outer Membrane
WP_162610392.1	A_muciniphila	OG0000232	0.0003486395027732		0.0003486395027732	0.0018332189596142	Periplasmic
WP_012420155.1	A_muciniphila	OG0000430	0.0017638590225594		0.0017638590225594	0.0017638590225594	Outer Membrane
WP_102743996.1	A_muciniphila	OG0000114	0.0006956187573804	0.000639075245121	0.0012142896423431	0.0017329605273059	Cytoplasmic
WP_102748791.1	A_muciniphila	OG0000430	0.0017638590225594		0.0017638590225594	0.0016803357848641	Outer Membrane
WP_012420146.1	A_muciniphila	unique				0.0016554296501964	Outer Membrane
WP_012421180.1	A_muciniphila	unique				0.0016545052046397	Outer Membrane
WP_102740364.1	A_muciniphila	OG0000023	0.0001260856207337	0.0026788920868688	0.0001187034085243	0.0016484694967708	Cytoplasmic Membrane
WP_102740061.1	A_muciniphila	OG0000440	0.0001443176812726	7.25227854228e-05	0.0015987168377493	0.0015987168377493	Cytoplasmic
WP_012419119.1	A_muciniphila	unique				0.0015870584572705	Cytoplasmic
WP_012420657.1	A_muciniphila	unique				0.0015384239014769	Outer Membrane
WP_012419975.1	A_muciniphila	OG0000120	0.0007484953856836	0.0004369707288671	0.0009575448392844	0.0015018282547133	Cytoplasmic
WP_012420945.1	A_muciniphila	OG0000448	3.50475411005e-05	1.97436280699e-05	0.0014924156234201	0.0014924156234201	Cytoplasmic
WP_012420463.1	A_muciniphila	unique				0.0014869365116699	Cytoplasmic
WP_022197033.1	A_muciniphila	unique				0.0014850624759861	Periplasmic
WP_012419137.1	A_muciniphila	OG0000411	0.0004432444025512		0.0004432444025512	0.0013357183522142	Cytoplasmic
WP_102744447.1	A_muciniphila	unique				0.0013139305768713	Outer Membrane
WP_022198556.1	A_muciniphila	OG0000674	0.0007117983365936		0.0007117983365936	0.0012801620033037	Cytoplasmic
WP_065528774.1	A_muciniphila	unique				0.0012741444047084	Outer Membrane
WP_012419125.1	A_muciniphila	OG0000410	0.001204036160148	0.0022489208825724	0.0006137051036396	0.001204036160148	Cytoplasmic
WP_102735417.1	A_muciniphila	unique				0.0011601120529043	Outer Membrane
WP_042448886.1	A_muciniphila	OG0000650	0.01906683569696		0.01906683569696	0.0011396643520955	Cytoplasmic
WP_102744642.1	A_muciniphila	unique				0.0011196669144258	Cytoplasmic Membrane
WP_012419848.1	A_muciniphila	OG0000205	0.0011085383387111	0.0014701808324519	0.0010042124667399	0.0011085383387111	Cytoplasmic
WP_146018840.1	A_muciniphila	unique				0.0010918495776757	Periplasmic
WP_012421187.1	A_muciniphila	OG0000227	0.0002203585924328	0.0002203585924328	0.000620635637435	0.0010872741464955	Cytoplasmic
WP_012420931.1	A_muciniphila	OG0000447	0.000936649649761	0.000539156370778	0.0010828458807581	0.0010828458807581	Cytoplasmic
WP_162378856.1	A_muciniphila	OG0000087	0.0006713466110681		0.0006713466110681	0.0010521364746684	Extracellular
WP_022196984.1	A_muciniphila	OG0000446	0.0002406025227933	0.0001266080697456	0.001046797448758	0.001046797448758	Cytoplasmic
WP_102746813.1	A_muciniphila	unique				0.0010077672292137	Extracellular
WP_102746532.1	A_muciniphila	OG0000222	0.0004230851165321	0.0002329400467924	0.0009994391724416	0.0009994391724416	Cytoplasmic
WP_256151032.1	A_muciniphila	OG0000459	0.0009977800739799	0.0010292911421852	0.0009977800739799	0.0009977800739799	Cytoplasmic
WP_012420704.1	A_muciniphila	OG0000074	0.0003457153550605	0.0003403602402641	0.0006565147354327	0.0009673141158048	Cytoplasmic
WP_012419590.1	A_muciniphila	OG0000287	0.0010614184432993	0.0007113933557586	0.0023772286137807	0.0009467263135503	Cytoplasmic
WP_012420269.1	A_muciniphila	unique				0.0009431694746394	Cytoplasmic
WP_012420875.1	A_muciniphila	OG0000015	0.0004020016233242	0.0007006651555772	0.0001172143253692	0.0009372361694778	Periplasmic
WP_012419351.1	A_muciniphila	OG0000155	0.0001312563246274	0.000195597027391	6.69156218638e-05	0.0009300202008478	Cytoplasmic
WP_012420997.1	A_muciniphila	OG0000297	0.0004870560401578	0.0018231998563992	0.0004656568863258	0.0009252382943295	Cytoplasmic
WP_102744825.1	A_muciniphila	OG0000117	6.23766763089e-05	8.36159035721e-05	4.1025898727e-05	0.0009250302884059	Cytoplasmic Membrane
WP_012420891.1	A_muciniphila	OG0000221	8.34057335089e-05	6.8348338766e-06	0.0005007433206624	0.0009180809078159	Cytoplasmic
WP_012419353.1	A_muciniphila	OG0000056	0.0012934165869403	0.0011133415054553	0.0022746703518744	0.0009019004844297	Cytoplasmic
WP_084042629.1	A_muciniphila	unique				0.000883054169557	Cytoplasmic Membrane
WP_128804795.1	A_muciniphila	unique				0.0008812838216742	Cytoplasmic
WP_012420286.1	A_muciniphila	unique				0.0008762430496823	Cytoplasmic Membrane
WP_143245882.1	A_muciniphila	unique				0.0008456107823583	Outer Membrane
WP_102748925.1	A_muciniphila	OG0000426	0.000843724042095	0.001231067798677	0.000843724042095	0.000843724042095	Cytoplasmic
WP_012419134.1	A_muciniphila	unique				0.0007792461051026	Outer Membrane
WP_012420270.1	A_muciniphila	unique				0.0007753633314467	Cytoplasmic Membrane
WP_146018867.1	A_muciniphila	unique				0.0007656268281242	Cytoplasmic Membrane
WP_157738297.1	A_muciniphila	OG0000087	0.0006713466110681		0.0006713466110681	0.0007557277049042	Extracellular
WP_157738268.1	A_muciniphila	unique				0.0007376429712034	Cytoplasmic Membrane
WP_031930710.1	A_muciniphila	OG0000068	0.0056162969560103	0.0059392857947234	0.0031752019852647	0.0007341070145191	Cytoplasmic
WP_012420307.1	A_muciniphila	unique				0.0007311042402601	Extracellular
WP_012419416.1	A_muciniphila	unique				0.0007171273525892	Cytoplasmic
WP_146018810.1	A_muciniphila	OG0000008	0.0001116801003372	0.0001043744391526	0.0001670269182255	0.0007084131119475	Cytoplasmic
WP_012420530.1	A_muciniphila	unique				0.0007064255196394	Outer Membrane
WP_012421130.1	A_muciniphila	OG0000672	0.0004301338650203		0.0004301338650203	0.0007033525445769	Periplasmic
WP_042449043.1	A_muciniphila	OG0000676	0.000355683211028	1.75966807477e-05	0.0006937697413083	0.0006937697413083	Cytoplasmic
WP_012419360.1	A_muciniphila	OG0000058	0.0008075641456153	0.0017088226234731	0.0004900505573698	0.0006937459440836	Cytoplasmic
WP_012420801.1	A_muciniphila	OG0000665	0.0003366861491675	2.184020879e-06	0.0006711882774559	0.0006711882774559	Cytoplasmic
WP_232051436.1	A_muciniphila	OG0000036	0.0006679418127303	0.000612672194475	0.0006679418127303	0.0006679418127303	Cytoplasmic
WP_012421171.1	A_muciniphila	OG0000129	0.0003544293265817	0.0004541368468763	7.23496559852e-05	0.0006471924297391	Cytoplasmic Membrane
WP_031930511.1	A_muciniphila	OG0000044	0.0002174129842175	0.0001490636744827	0.0006417947641899	0.0006417947641899	Cytoplasmic
WP_012419469.1	A_muciniphila	OG0000198	0.000214770039869	8.29311786404e-05	0.0006402666531504	0.0006402666531504	Cytoplasmic
WP_102746490.1	A_muciniphila	unique				0.000631806784393	Outer Membrane
WP_012419788.1	A_muciniphila	OG0000162	0.0003633645256068	0.0005112082139719	0.0003393419585968	0.0006307479185923	Cytoplasmic
WP_012419734.1	A_muciniphila	OG0000033	0.0020783587784545		0.0020783587784545	0.0006105468354242	Outer Membrane
WP_012419179.1	A_muciniphila	unique				0.0006073058724526	Periplasmic
WP_143245906.1	A_muciniphila	unique				0.0005975376866462	Outer Membrane
WP_042447757.1	A_muciniphila	OG0000087	0.0006713466110681		0.0006713466110681	0.0005869655172321	Extracellular
WP_012419410.1	A_muciniphila	unique				0.0005801840922565	Cytoplasmic Membrane
WP_102746791.1	A_muciniphila	OG0000409	0.0005649432166476	0.0012481714653184	0.0005649432166476	0.0005649432166476	Cytoplasmic
WP_102746505.1	A_muciniphila	unique				0.0005605354910577	Cytoplasmic Membrane
WP_232051430.1	A_muciniphila	OG0000680	0.0002797919061133	1.4370643572e-06	0.0005581467478693	0.0005581467478693	Cytoplasmic
WP_012420140.1	A_muciniphila	unique				0.0005539153385239	Cytoplasmic
WP_094139325.1	A_muciniphila	unique				0.0005337218159716	Cytoplasmic
WP_162378833.1	A_muciniphila	unique				0.0005305533735672	Cytoplasmic
WP_012420029.1	A_muciniphila	OG0000016	0.0003575705187354	0.000414199485005	0.0003104547310312	0.0005305391966729	Cytoplasmic Membrane
WP_094139941.1	A_muciniphila	OG0000420	3.91204061118e-05	1.49222833807e-05	0.0002833490188426	0.0005275776315734	Cytoplasmic Membrane
WP_012421185.1	A_muciniphila	OG0000156	7.2081937711e-05		7.2081937711e-05	0.0005201149217175	Extracellular
WP_012420080.1	A_muciniphila	OG0000202	0.0032331407056946		0.0032331407056946	0.0005167297978008	Extracellular
WP_012421090.1	A_muciniphila	OG0000012	0.0004972699561946	0.0001859769831814	0.0045370663495466	0.0005110384865887	Cytoplasmic
WP_012419305.1	A_muciniphila	OG0000081	5.8401775245e-05	5.8401775245e-05	0.0002747520396544	0.0005087333934665	Cytoplasmic
WP_102742890.1	A_muciniphila	unique				0.0005013587272491	Outer Membrane
WP_102740362.1	A_muciniphila	OG0000109	4.67623115923e-05		4.67623115923e-05	0.0005010893816904	Outer Membrane
WP_012419120.1	A_muciniphila	OG0000022	0.0002151967336506	0.0002517848427121	9.77755164864e-05	0.0004954236539109	Cytoplasmic
WP_094139167.1	A_muciniphila	OG0000054	0.0001698405052968	0.0005885660332666	3.78918282346e-05	0.0004884903286495	Cytoplasmic
WP_022198444.1	A_muciniphila	OG0000639	0.0011586977933954	0.0018351396632181	0.0004822559235727	0.0004822559235727	Cytoplasmic Membrane
WP_102747070.1	A_muciniphila	unique				0.0004793011927558	Cytoplasmic
WP_102741689.1	A_muciniphila	unique				0.0004757243087849	Cytoplasmic Membrane
WP_051729305.1	A_muciniphila	unique				0.0004736694176625	Cytoplasmic
WP_012420085.1	A_muciniphila	OG0000069	0.0007273803218562	0.0038502999317735	0.0003766305603293	0.0004723007987132	Cytoplasmic
WP_012419285.1	A_muciniphila	unique				0.0004715611260912	Outer Membrane
WP_102747201.1	A_muciniphila	OG0000055	9.71232287194e-05	0.0001186251153421	9.71232287194e-05	0.000461338196499	Cytoplasmic Membrane
WP_012420053.1	A_muciniphila	unique				0.0004584248106272	Cytoplasmic
WP_102735686.1	A_muciniphila	OG0000422	0.0001988243660996	0.0001880998559328	0.000452216760321	0.000452216760321	Cytoplasmic
WP_012419383.1	A_muciniphila	unique				0.0004456580714973	Cytoplasmic
WP_012420538.1	A_muciniphila	OG0000124	0.0001936196254037	0.0004212895568268	0.0001192878698119	0.0004452271524412	Cytoplasmic Membrane
WP_012420432.1	A_muciniphila	OG0000411	0.0004432444025512		0.0004432444025512	0.0004432444025512	Cytoplasmic
WP_232053433.1	A_muciniphila	OG0000098	0.0003823274659629	0.0008066336272201	0.0003823274659629	0.0004430172283737	Cytoplasmic Membrane
WP_012419601.1	A_muciniphila	unique				0.00044099155469	Cytoplasmic Membrane
WP_012419978.1	A_muciniphila	OG0000086	0.0010934874628453	0.0011131106476642	0.0009904540070733	0.0004354495975856	Cytoplasmic
WP_012421058.1	A_muciniphila	OG0000300	0.0002585899891789	0.0019357497228332	0.0002288550143379	0.0004307716826923	Cytoplasmic
WP_012420591.1	A_muciniphila	OG0000434	0.0004189722849594	0.0002387028418786	0.0004189722849594	0.0004189722849594	Cytoplasmic
WP_012419796.1	A_muciniphila	OG0000649	0.000371940992832		0.000371940992832	0.0004146303089055	Cytoplasmic Membrane
WP_012419510.1	A_muciniphila	OG0000421	5.24764234652e-05	2.67558429178e-05	0.0004116669726283	0.0004116669726283	Cytoplasmic
WP_012419698.1	A_muciniphila	unique				0.0004103058260496	Extracellular
WP_065529996.1	A_muciniphila	OG0000230	0.0003029545445644	6.67710044845e-05	0.0026925169090803	0.0004085493552427	Cytoplasmic
WP_087393283.1	A_muciniphila	OG0000008	0.0001116801003372	0.0001043744391526	0.0001670269182255	0.0004081459042272	Cytoplasmic
WP_012420170.1	A_muciniphila	unique				0.0004060452906832	Cytoplasmic
WP_012419766.1	A_muciniphila	OG0000647	0.0002264104627667		0.0002264104627667	0.0004048172956446	Cytoplasmic Membrane
WP_157738216.1	A_muciniphila	OG0000100	0.0003664582820885	0.0006713569292601	9.69348580378e-05	0.000398275336316	Cytoplasmic Membrane
WP_031930846.1	A_muciniphila	unique				0.0003945096414001	Cytoplasmic
WP_256150996.1	A_muciniphila	unique				0.0003906125291566	Cytoplasmic
WP_102744663.1	A_muciniphila	OG0000660	0.0002365847084311		0.0002365847084311	0.0003889347387501	Cytoplasmic Membrane
WP_232053470.1	A_muciniphila	OG0000303	0.0002304013603724	7.63760444037e-05	0.0003844266763411	0.0003844266763411	Cytoplasmic
WP_046437511.1	A_muciniphila	OG0000652	0.0002148497122013		0.0002148497122013	0.0003801828755006	Outer Membrane
WP_102746901.1	A_muciniphila	unique				0.0003783535979956	Periplasmic
WP_046434376.1	A_muciniphila	OG0000163	0.0004981726306556	0.0114127179183102	0.0004354963297452	0.0003778975705176	Cytoplasmic
WP_031930427.1	A_muciniphila	OG0000291	0.0002119063140346	0.0002448967387456	0.0002119063140346	0.0003778300732861	Cytoplasmic
WP_065529217.1	A_muciniphila	unique				0.000372976940621	Extracellular
WP_012421027.1	A_muciniphila	OG0000669	0.0001851631371958	1.8629264186e-06	0.0003684633479731	0.0003684633479731	Cytoplasmic
WP_012419257.1	A_muciniphila	OG0000042	0.0004774996965754	0.0006345539805985	0.0004774996965754	0.0003644173438808	Cytoplasmic
WP_065529848.1	A_muciniphila	unique				0.0003559534397261	Cytoplasmic Membrane
WP_012420139.1	A_muciniphila	unique				0.0003553131471525	Outer Membrane
WP_256943614.1	A_muciniphila	OG0000677	0.0002788905128817	0.0002103219825942	0.0003474590431692	0.0003474590431692	Cytoplasmic
WP_157759309.1	A_muciniphila	unique				0.0003436176651063	Outer Membrane
WP_012420473.1	A_muciniphila	OG0000123	0.0003431374641765	0.0005251076542064	0.0001757048203778	0.0003431374641765	Cytoplasmic
WP_102744901.1	A_muciniphila	unique				0.0003423848513438	Extracellular
WP_012420865.1	A_muciniphila	OG0000666	0.0019825370470828	0.0036259616267997	0.0003391124673659	0.0003391124673659	Cytoplasmic Membrane
WP_012420224.1	A_muciniphila	OG0000090	0.0020828373225589	0.0119576534311623	0.0003363205694895	0.0003363205694895	Cytoplasmic
WP_012420618.1	A_muciniphila	OG0000649	0.000371940992832		0.000371940992832	0.0003292516767585	Cytoplasmic Membrane
WP_012420893.1	A_muciniphila	OG0000111	0.0001306033300973		0.0001306033300973	0.0003280920239946	Cytoplasmic Membrane
WP_012420677.1	A_muciniphila	OG0000441	0.0003270555661528	0.0053444806935547	0.0002715125988589	0.0003270555661528	Cytoplasmic Membrane
WP_012420850.1	A_muciniphila	OG0000220	4.28650061211e-05	1.33519713022e-05	0.0002499507385573	0.0003177199761832	Cytoplasmic
WP_123044210.1	A_muciniphila	OG0000075	0.0005989023024258	0.0007167369148379	0.0004548047409683	0.0003107071795108	Cytoplasmic
WP_022197439.1	A_muciniphila	OG0000088	8.0883731285e-05	8.0883731285e-05	0.000174826535727	0.0003096730871209	Cytoplasmic
WP_065529460.1	A_muciniphila	OG0000152	0.0005943921298797	0.0007763496657673	0.0003034542673648	0.0003034542673648	Cytoplasmic
WP_022197556.1	A_muciniphila	unique				0.0003005763600805	Cytoplasmic
WP_123039083.1	A_muciniphila	OG0000099	2.33561353392e-05	2.34767190302e-05	2.02841385545e-05	0.0002957787650935	Cytoplasmic
WP_102747053.1	A_muciniphila	OG0000212	0.0001689690207864	0.0001689690207864	0.0001524925301929	0.0002956411544095	Cytoplasmic
WP_012419225.1	A_muciniphila	OG0000415	0.0002941989341747		0.0002941989341747	0.0002941989341747	Cytoplasmic
WP_162378731.1	A_muciniphila	OG0000427	0.0002896978022557		0.0002896978022557	0.0002896978022557	Cytoplasmic
WP_012419531.1	A_muciniphila	OG0000642	0.0001649783565479		0.0001649783565479	0.0002886804116489	Cytoplasmic
WP_012419363.1	A_muciniphila	OG0000017	0.0002845397913973	0.0003041708517906	1.32912793848e-05	0.0002881948452737	Cytoplasmic
WP_102747156.1	A_muciniphila	unique				0.0002878345077916	Cytoplasmic
WP_012419603.1	A_muciniphila	unique				0.0002856817448951	Outer Membrane
WP_094137889.1	A_muciniphila	unique				0.0002856280330447	Cytoplasmic
WP_155844612.1	A_muciniphila	unique				0.0002822100554683	Periplasmic
WP_012420028.1	A_muciniphila	unique				0.0002815405192273	Cytoplasmic
WP_143246725.1	A_muciniphila	OG0000640	0.0001625029863166		0.0001625029863166	0.0002768382143689	Outer Membrane
WP_102745185.1	A_muciniphila	OG0000223	0.0005449445041794	0.0005620986122539	0.000268830378739	0.000268830378739	Cytoplasmic
WP_012420626.1	A_muciniphila	OG0000659	0.0002007758320796	0.0001345068101219	0.0002670448540373	0.0002670448540373	Cytoplasmic
WP_012419593.1	A_muciniphila	OG0000063	0.0004420972607969	0.0005570375531806	0.0002062833924575	0.0002625567029251	Cytoplasmic
WP_128252196.1	A_muciniphila	unique				0.0002609305717262	Periplasmic
WP_042447441.1	A_muciniphila	OG0000035	0.0002540531652244	0.0006269752129611	0.0001021287922433	0.0002540531652244	Periplasmic
WP_012421157.1	A_muciniphila	unique				0.0002537574093081	Cytoplasmic Membrane
WP_164502603.1	A_muciniphila	OG0000027	0.000176663059643	0.0003192328610269	6.09425276585e-05	0.0002521408979679	Cytoplasmic
WP_012419361.1	A_muciniphila	OG0000082	0.0006896436224197	0.0026402502770601	0.0001392181186596	0.000237490337021	Cytoplasmic
WP_012420377.1	A_muciniphila	unique				0.0002316419434757	Periplasmic
WP_146020852.1	A_muciniphila	unique				0.0002316337801973	Cytoplasmic
WP_102747158.1	A_muciniphila	OG0000225	0.0002213553367046	0.0001915113147471	0.0002213553367046	0.0002213553367046	Cytoplasmic
WP_012419632.1	A_muciniphila	unique				0.0002198126787627	Outer Membrane
WP_094139471.1	A_muciniphila	unique				0.000216820396189	Cytoplasmic
WP_051729123.1	A_muciniphila	OG0000675	0.0001726332112179	0.0001285162135097	0.0002167502089261	0.0002167502089261	Cytoplasmic Membrane
WP_012420627.1	A_muciniphila	OG0000436	0.0002099026622947	0.0002558585354291	0.0001864398634979	0.0002099026622947	Periplasmic
WP_012420148.1	A_muciniphila	unique				0.0002068575200883	Cytoplasmic
WP_012419234.1	A_muciniphila	unique				0.0002061007353708	Cytoplasmic
WP_012419445.1	A_muciniphila	unique				0.0002052373086375	Cytoplasmic
WP_065528842.1	A_muciniphila	OG0000432	4.65055628493e-05		4.65055628493e-05	0.000199405319802	Cytoplasmic Membrane
WP_012420812.1	A_muciniphila	unique				0.0001986622008824	Cytoplasmic
